Name,Sex,Decade,Count
Anna,F,1880,38
Emma,F,1880,25
Elizabeth,F,1880,25
Margaret,F,1880,21
Minnie,F,1880,21
Ida,F,1880,18
Bertha,F,1880,18
Clara,F,1880,17
Alice,F,1880,17
Annie,F,1880,17
Anna,F,1890,55
Margaret,F,1890,37
Helen,F,1890,37
Elizabeth,F,1890,33
Ruth,F,1890,32
Florence,F,1890,32
Ethel,F,1890,31
Emma,F,1890,28
Marie,F,1890,25
Clara,F,1890,25
Helen,F,1900,69
Margaret,F,1900,57
Anna,F,1900,54
Ruth,F,1900,51
Elizabeth,F,1900,41
Dorothy,F,1900,39
Marie,F,1900,37
Florence,F,1900,36
Mildred,F,1900,36
Alice,F,1900,35
Helen,F,1910,248
Dorothy,F,1910,207
Margaret,F,1910,189
Ruth,F,1910,173
Mildred,F,1910,123
Anna,F,1910,118
Elizabeth,F,1910,116
Frances,F,1910,105
Virginia,F,1910,94
Marie,F,1910,92
Dorothy,F,1920,368
Helen,F,1920,290
Betty,F,1920,283
Margaret,F,1920,245
Ruth,F,1920,218
Virginia,F,1920,169
Doris,F,1920,151
Mildred,F,1920,147
Frances,F,1920,140
Elizabeth,F,1920,139
Betty,F,1930,300
Barbara,F,1930,296
Shirley,F,1930,229
Patricia,F,1930,220
Dorothy,F,1930,210
Joan,F,1930,173
Margaret,F,1930,157
Nancy,F,1930,142
Helen,F,1930,140
Carol,F,1930,117
Barbara,F,1940,425
Patricia,F,1940,411
Carol,F,1940,292
Sandra,F,1940,265
Nancy,F,1940,252
Linda,F,1940,244
Sharon,F,1940,221
Judith,F,1940,218
Susan,F,1940,212
Mary,F,1940,207
Patricia,F,1950,459
Susan,F,1950,437
Deborah,F,1950,430
Barbara,F,1950,345
Linda,F,1950,342
Debra,F,1950,341
Karen,F,1950,332
Nancy,F,1950,286
Donna,F,1950,270
Cynthia,F,1950,263
Susan,F,1960,287
Karen,F,1960,286
Kimberly,F,1960,259
Mary,F,1960,256
Patricia,F,1960,231
Linda,F,1960,225
Donna,F,1960,213
Michelle,F,1960,208
Cynthia,F,1960,196
Sandra,F,1960,183
Amy,F,1970,268
Melissa,F,1970,253
Michelle,F,1970,249
Kimberly,F,1970,229
Lisa,F,1970,228
Angela,F,1970,225
Heather,F,1970,203
Stephanie,F,1970,160
Nicole,F,1970,144
Jessica,F,1970,143
Amanda,F,1980,369
Ashley,F,1980,352
Sarah,F,1980,272
Stephanie,F,1980,218
Melissa,F,1980,217
Jessica,F,1980,213
Nicole,F,1980,210
Elizabeth,F,1980,198
Heather,F,1980,191
Jennifer,F,1980,163
Sarah,F,1990,224
Samantha,F,1990,224
Ashley,F,1990,219
Amanda,F,1990,191
Brittany,F,1990,190
Elizabeth,F,1990,172
